"which_localization"	"ensembl_gene_id_version"	"percentage_gene_gc_content"	"gene_biotype"	"tmhmm"
"103"	"cytosol"	"ENSG00000005469.11"	NA	NA	NA
"104"	"nucleus"	"ENSG00000005471.15"	NA	NA	NA
"105"	"cytosol"	"ENSG00000005483.20"	NA	NA	NA
"106"	"nucleus"	"ENSG00000005486.16"	NA	NA	NA
"107"	"cytosol"	"ENSG00000005513.9"	NA	NA	NA
"108"	"cytosol"	"ENSG00000005700.14"	NA	NA	NA
"109"	"cytosol"	"ENSG00000005801.16"	NA	NA	NA
"110"	"nucleus"	"ENSG00000005810.17"	NA	NA	NA
"111"	"nucleus"	"ENSG00000005812.10"	NA	NA	NA
"112"	"nucleus"	"ENSG00000005844.17"	NA	NA	NA
"113"	"nucleus"	"ENSG00000005882.11"	NA	NA	NA
"114"	"cytosol"	"ENSG00000005884.17"	NA	NA	NA
"115"	"nucleus"	"ENSG00000005889.15"	40.77	"protein_coding"	""
"116"	"nucleus"	"ENSG00000005893.15"	NA	NA	NA
"117"	"cytosol"	"ENSG00000005961.17"	NA	NA	NA
"118"	"nucleus"	"ENSG00000005981.12"	NA	NA	NA
"119"	"nucleus"	"ENSG00000006007.11"	NA	NA	NA
"120"	"cytosol"	"ENSG00000006015.17"	60.24	"protein_coding"	""
"121"	"nucleus"	"ENSG00000006016.10"	NA	NA	NA
"122"	"cytosol"	"ENSG00000006025.11"	NA	NA	NA
"123"	"nucleus"	"ENSG00000006042.11"	NA	NA	NA
"124"	"nucleus"	"ENSG00000006047.12"	NA	NA	NA
"125"	"non-localized"	"ENSG00000006059.3"	NA	NA	NA
"126"	"nucleus"	"ENSG00000006062.14"	NA	NA	NA
"127"	"cytosol"	"ENSG00000006071.12"	NA	NA	NA
"128"	"non-localized"	"ENSG00000006116.3"	NA	NA	NA
"129"	"cytosol"	"ENSG00000006118.14"	58.71	"protein_coding"	""
"130"	"cytosol"	"ENSG00000006118.14"	58.71	"protein_coding"	"TMhelix"
"131"	"nucleus"	"ENSG00000006125.17"	NA	NA	NA
"132"	"nucleus"	"ENSG00000006128.11"	NA	NA	NA
"133"	"nucleus"	"ENSG00000006194.9"	NA	NA	NA
"134"	"non-localized"	"ENSG00000006210.6"	NA	NA	NA
"135"	"cytosol"	"ENSG00000006282.20"	NA	NA	NA
"136"	"nucleus"	"ENSG00000006283.17"	NA	NA	NA
"137"	"nucleus"	"ENSG00000006327.13"	NA	NA	NA
"138"	"non-localized"	"ENSG00000006377.10"	NA	NA	NA
"139"	"nucleus"	"ENSG00000006432.15"	44.98	"protein_coding"	""
"140"	"nucleus"	"ENSG00000006451.7"	NA	NA	NA
"141"	"nucleus"	"ENSG00000006453.13"	NA	NA	NA
"142"	"cytosol"	"ENSG00000006459.10"	NA	NA	NA
"143"	"nucleus"	"ENSG00000006468.13"	NA	NA	NA
"144"	"nucleus"	"ENSG00000006530.15"	NA	NA	NA
"145"	"nucleus"	"ENSG00000006534.15"	NA	NA	NA
"146"	"nucleus"	"ENSG00000006555.10"	NA	NA	NA
"147"	"nucleus"	"ENSG00000006576.16"	37.65	"protein_coding"	"TMhelix"
"148"	"nucleus"	"ENSG00000006606.8"	48.09	"protein_coding"	""
"149"	"nucleus"	"ENSG00000006607.13"	NA	NA	NA
"150"	"non-localized"	"ENSG00000006611.15"	NA	NA	NA
"151"	"nucleus"	"ENSG00000006625.17"	NA	NA	NA
"152"	"nucleus"	"ENSG00000006634.7"	NA	NA	NA
"153"	"nucleus"	"ENSG00000006638.11"	NA	NA	NA
"154"	"nucleus"	"ENSG00000006652.13"	NA	NA	NA
"155"	"non-localized"	"ENSG00000006659.12"	NA	NA	NA
"156"	"nucleus"	"ENSG00000006695.10"	NA	NA	NA
"157"	"nucleus"	"ENSG00000006704.10"	52.72	"protein_coding"	""
"158"	"nucleus"	"ENSG00000006712.14"	NA	NA	NA
"159"	"cytosol"	"ENSG00000006715.15"	NA	NA	NA
"160"	"cytosol"	"ENSG00000006740.16"	NA	NA	NA
"161"	"nucleus"	"ENSG00000006744.18"	NA	NA	NA
"162"	"nucleus"	"ENSG00000006747.14"	NA	NA	NA
"163"	"nucleus"	"ENSG00000006756.15"	NA	NA	NA
"164"	"nucleus"	"ENSG00000006757.11"	NA	NA	NA
"165"	"non-localized"	"ENSG00000006788.13"	NA	NA	NA
"166"	"nucleus"	"ENSG00000006831.9"	NA	NA	NA
"167"	"nucleus"	"ENSG00000006837.11"	NA	NA	NA
"168"	"non-localized"	"ENSG00000007001.12"	NA	NA	NA
"169"	"cytosol"	"ENSG00000007038.10"	NA	NA	NA
"170"	"nucleus"	"ENSG00000007047.14"	NA	NA	NA
"171"	"cytosol"	"ENSG00000007062.11"	43.17	"protein_coding"	""
"172"	"cytosol"	"ENSG00000007062.11"	43.17	"protein_coding"	"TMhelix"
"173"	"nucleus"	"ENSG00000007080.10"	NA	NA	NA
"174"	"cytosol"	"ENSG00000007129.17"	NA	NA	NA
"175"	"nucleus"	"ENSG00000007168.12"	NA	NA	NA
"176"	"nucleus"	"ENSG00000007171.16"	NA	NA	NA
"177"	"cytosol"	"ENSG00000007174.17"	NA	NA	NA
"178"	"nucleus"	"ENSG00000007202.14"	NA	NA	NA
"179"	"non-localized"	"ENSG00000007216.14"	NA	NA	NA
"180"	"nucleus"	"ENSG00000007237.18"	47.97	"protein_coding"	""
"181"	"nucleus"	"ENSG00000007255.10"	56.86	"protein_coding"	""
"182"	"nucleus"	"ENSG00000007264.14"	NA	NA	NA
"183"	"non-localized"	"ENSG00000007306.14"	NA	NA	NA
"184"	"nucleus"	"ENSG00000007312.12"	NA	NA	NA
"185"	"cytosol"	"ENSG00000007314.12"	56.1	"protein_coding"	"TMhelix"
"186"	"nucleus"	"ENSG00000007341.18"	NA	NA	NA
"187"	"nucleus"	"ENSG00000007350.16"	NA	NA	NA
"188"	"cytosol"	"ENSG00000007372.21"	NA	NA	NA
"189"	"nucleus"	"ENSG00000007376.7"	NA	NA	NA
"190"	"cytosol"	"ENSG00000007384.15"	61.15	"protein_coding"	"TMhelix"
"191"	"cytosol"	"ENSG00000007384.15"	61.15	"protein_coding"	""
"192"	"cytosol"	"ENSG00000007392.16"	47.33	"protein_coding"	""
"193"	"nucleus"	"ENSG00000007402.11"	56.52	"protein_coding"	""
"194"	"cytosol"	"ENSG00000007516.13"	NA	NA	NA
"195"	"nucleus"	"ENSG00000007520.3"	NA	NA	NA
"196"	"cytosol"	"ENSG00000007541.16"	NA	NA	NA
"197"	"nucleus"	"ENSG00000007545.15"	NA	NA	NA
"198"	"nucleus"	"ENSG00000007866.19"	NA	NA	NA
"199"	"non-localized"	"ENSG00000007908.15"	NA	NA	NA
"200"	"nucleus"	"ENSG00000007923.15"	NA	NA	NA
"201"	"non-localized"	"ENSG00000007933.12"	NA	NA	NA
"202"	"nucleus"	"ENSG00000007944.14"	NA	NA	NA
"203"	"non-localized"	"ENSG00000007952.17"	NA	NA	NA
"204"	"nucleus"	"ENSG00000007968.6"	NA	NA	NA
"205"	"nucleus"	"ENSG00000008018.8"	NA	NA	NA
"206"	"nucleus"	"ENSG00000008083.13"	NA	NA	NA
"207"	"nucleus"	"ENSG00000008086.11"	NA	NA	NA
"208"	"non-localized"	"ENSG00000008118.9"	NA	NA	NA
"209"	"cytosol"	"ENSG00000008128.22"	NA	NA	NA
"210"	"cytosol"	"ENSG00000008130.15"	53.7	"protein_coding"	""
"211"	"cytosol"	"ENSG00000008196.12"	NA	NA	NA
"212"	"non-localized"	"ENSG00000008197.4"	NA	NA	NA
"213"	"cytosol"	"ENSG00000008226.19"	NA	NA	NA
"214"	"nucleus"	"ENSG00000008256.15"	NA	NA	NA
"215"	"cytosol"	"ENSG00000008277.14"	37.29	"protein_coding"	"TMhelix"
"216"	"cytosol"	"ENSG00000008277.14"	37.29	"protein_coding"	""
"217"	"nucleus"	"ENSG00000008282.8"	38.18	"protein_coding"	"TMhelix"
"218"	"nucleus"	"ENSG00000008282.8"	38.18	"protein_coding"	""
"219"	"nucleus"	"ENSG00000008283.15"	NA	NA	NA
"220"	"cytosol"	"ENSG00000008294.20"	NA	NA	NA
"221"	"cytosol"	"ENSG00000008300.16"	NA	NA	NA
"222"	"cytosol"	"ENSG00000008311.14"	NA	NA	NA
"223"	"nucleus"	"ENSG00000008323.15"	55.71	"protein_coding"	""
"224"	"nucleus"	"ENSG00000008324.11"	47.77	"protein_coding"	""
"225"	"nucleus"	"ENSG00000008382.15"	55.95	"protein_coding"	""
"226"	"nucleus"	"ENSG00000008394.12"	NA	NA	NA
"227"	"nucleus"	"ENSG00000008405.11"	NA	NA	NA
"228"	"non-localized"	"ENSG00000008438.4"	NA	NA	NA
"229"	"nucleus"	"ENSG00000008441.16"	55.28	"protein_coding"	""
"230"	"nucleus"	"ENSG00000008513.14"	NA	NA	NA
"231"	"cytosol"	"ENSG00000008516.16"	NA	NA	NA
"232"	"nucleus"	"ENSG00000008517.16"	NA	NA	NA
"233"	"cytosol"	"ENSG00000008710.19"	NA	NA	NA
"234"	"nucleus"	"ENSG00000008735.13"	NA	NA	NA
"235"	"cytosol"	"ENSG00000008838.19"	NA	NA	NA
"236"	"nucleus"	"ENSG00000008853.16"	NA	NA	NA
"237"	"nucleus"	"ENSG00000008869.11"	NA	NA	NA
"238"	"nucleus"	"ENSG00000008952.16"	NA	NA	NA
"239"	"nucleus"	"ENSG00000008988.9"	41.97	"protein_coding"	""
"240"	"nucleus"	"ENSG00000009307.15"	NA	NA	NA
"241"	"nucleus"	"ENSG00000009335.17"	NA	NA	NA
"242"	"nucleus"	"ENSG00000009413.15"	NA	NA	NA
"243"	"cytosol"	"ENSG00000009694.13"	37.17	"protein_coding"	"TMhelix"
"244"	"non-localized"	"ENSG00000009709.11"	NA	NA	NA
"245"	"cytosol"	"ENSG00000009724.16"	NA	NA	NA
"246"	"non-localized"	"ENSG00000009765.14"	NA	NA	NA
"247"	"nucleus"	"ENSG00000009780.15"	43.35	"protein_coding"	""
"248"	"cytosol"	"ENSG00000009790.14"	NA	NA	NA
"249"	"cytosol"	"ENSG00000009830.11"	47.08	"protein_coding"	"TMhelix"
"250"	"cytosol"	"ENSG00000009830.11"	47.08	"protein_coding"	""
"251"	"nucleus"	"ENSG00000009844.15"	NA	NA	NA
"252"	"cytosol"	"ENSG00000009950.15"	NA	NA	NA
"253"	"nucleus"	"ENSG00000009954.10"	NA	NA	NA
"254"	"nucleus"	"ENSG00000010017.12"	NA	NA	NA
"255"	"cytosol"	"ENSG00000010030.13"	NA	NA	NA
"256"	"nucleus"	"ENSG00000010072.15"	NA	NA	NA
"257"	"nucleus"	"ENSG00000010165.19"	NA	NA	NA
"258"	"nucleus"	"ENSG00000010219.13"	42.77	"protein_coding"	""
"259"	"nucleus"	"ENSG00000010244.18"	38.47	"protein_coding"	""
"260"	"nucleus"	"ENSG00000010256.10"	NA	NA	NA
"261"	"nucleus"	"ENSG00000010270.13"	38.4	"protein_coding"	"TMhelix"
"262"	"nucleus"	"ENSG00000010278.12"	NA	NA	NA
"263"	"cytosol"	"ENSG00000010282.14"	NA	NA	NA
"264"	"nucleus"	"ENSG00000010292.12"	NA	NA	NA
"265"	"nucleus"	"ENSG00000010295.19"	54.32	"protein_coding"	""
"266"	"cytosol"	"ENSG00000010310.8"	NA	NA	NA
"267"	"cytosol"	"ENSG00000010318.20"	NA	NA	NA
"268"	"cytosol"	"ENSG00000010319.6"	NA	NA	NA
"269"	"cytosol"	"ENSG00000010322.15"	NA	NA	NA
"270"	"cytosol"	"ENSG00000010327.10"	60.65	"protein_coding"	"TMhelix"
"271"	"nucleus"	"ENSG00000010361.13"	NA	NA	NA
"272"	"cytosol"	"ENSG00000010379.15"	NA	NA	NA
"273"	"nucleus"	"ENSG00000010404.17"	NA	NA	NA
"274"	"non-localized"	"ENSG00000010438.16"	42.84	"protein_coding"	""
"275"	"cytosol"	"ENSG00000010539.11"	43.67	"protein_coding"	""
"276"	"nucleus"	"ENSG00000010610.9"	NA	NA	NA
"277"	"nucleus"	"ENSG00000010626.14"	NA	NA	NA
"278"	"cytosol"	"ENSG00000010671.15"	NA	NA	NA
"279"	"nucleus"	"ENSG00000010704.18"	44.85	"protein_coding"	"TMhelix"
"280"	"nucleus"	"ENSG00000010803.16"	39.5	"protein_coding"	""
"281"	"nucleus"	"ENSG00000010810.17"	42.42	"protein_coding"	""
"282"	"non-localized"	"ENSG00000010818.9"	NA	NA	NA
"283"	"non-localized"	"ENSG00000010932.16"	NA	NA	NA
"284"	"nucleus"	"ENSG00000011007.12"	45.7	"protein_coding"	""
"285"	"nucleus"	"ENSG00000011009.10"	NA	NA	NA
"286"	"cytosol"	"ENSG00000011021.21"	NA	NA	NA
"287"	"cytosol"	"ENSG00000011028.13"	NA	NA	NA
"288"	"nucleus"	"ENSG00000011052.21"	48.86	"protein_coding"	""
"289"	"non-localized"	"ENSG00000011083.8"	NA	NA	NA
"290"	"nucleus"	"ENSG00000011105.12"	NA	NA	NA
"291"	"nucleus"	"ENSG00000011114.14"	NA	NA	NA
"292"	"nucleus"	"ENSG00000011132.11"	NA	NA	NA
"293"	"cytosol"	"ENSG00000011143.16"	NA	NA	NA
"294"	"nucleus"	"ENSG00000011198.7"	NA	NA	NA
"295"	"non-localized"	"ENSG00000011201.11"	NA	NA	NA
"296"	"cytosol"	"ENSG00000011243.17"	NA	NA	NA
"297"	"nucleus"	"ENSG00000011258.15"	NA	NA	NA
"298"	"nucleus"	"ENSG00000011260.13"	NA	NA	NA
"299"	"cytosol"	"ENSG00000011275.18"	45.52	"protein_coding"	""
"300"	"nucleus"	"ENSG00000011295.15"	NA	NA	NA
"301"	"cytosol"	"ENSG00000011304.19"	NA	NA	NA
"302"	"nucleus"	"ENSG00000011332.19"	57.15	"protein_coding"	""
"303"	"nucleus"	"ENSG00000011347.9"	NA	NA	NA
"304"	"nucleus"	"ENSG00000011376.9"	NA	NA	NA
"305"	"nucleus"	"ENSG00000011405.13"	39.84	"protein_coding"	""
"306"	"nucleus"	"ENSG00000011422.11"	NA	NA	NA
"307"	"cytosol"	"ENSG00000011426.10"	NA	NA	NA
"308"	"nucleus"	"ENSG00000011451.17"	NA	NA	NA
"309"	"cytosol"	"ENSG00000011454.16"	NA	NA	NA
"310"	"cytosol"	"ENSG00000011465.16"	NA	NA	NA
"311"	"nucleus"	"ENSG00000011478.11"	NA	NA	NA
"312"	"nucleus"	"ENSG00000011485.14"	NA	NA	NA
"313"	"nucleus"	"ENSG00000011523.13"	NA	NA	NA
"314"	"cytosol"	"ENSG00000011566.14"	NA	NA	NA
"315"	"cytosol"	"ENSG00000011590.13"	NA	NA	NA
"316"	"nucleus"	"ENSG00000011600.11"	NA	NA	NA
"317"	"nucleus"	"ENSG00000011638.10"	43.7	"protein_coding"	""
"318"	"nucleus"	"ENSG00000011638.10"	43.7	"protein_coding"	"TMhelix"
"319"	"nucleus"	"ENSG00000011677.12"	NA	NA	NA
"320"	"nucleus"	"ENSG00000012048.20"	NA	NA	NA
"321"	"nucleus"	"ENSG00000012061.15"	NA	NA	NA
"322"	"cytosol"	"ENSG00000012124.16"	NA	NA	NA
"323"	"cytosol"	"ENSG00000012171.19"	NA	NA	NA
"324"	"nucleus"	"ENSG00000012174.11"	NA	NA	NA
"325"	"cytosol"	"ENSG00000012211.12"	NA	NA	NA
"326"	"cytosol"	"ENSG00000012223.12"	NA	NA	NA
"327"	"nucleus"	"ENSG00000012232.8"	NA	NA	NA
"328"	"non-localized"	"ENSG00000012504.13"	NA	NA	NA
"329"	"nucleus"	"ENSG00000012660.13"	NA	NA	NA
"330"	"cytosol"	"ENSG00000012779.10"	NA	NA	NA
"331"	"nucleus"	"ENSG00000012817.15"	38.66	"protein_coding"	""
"332"	"cytosol"	"ENSG00000012822.15"	NA	NA	NA
"333"	"nucleus"	"ENSG00000012963.14"	NA	NA	NA
"334"	"cytosol"	"ENSG00000012983.11"	37.27	"protein_coding"	""
"335"	"nucleus"	"ENSG00000013016.15"	NA	NA	NA
"336"	"nucleus"	"ENSG00000013275.7"	NA	NA	NA
"337"	"nucleus"	"ENSG00000013288.8"	NA	NA	NA
"338"	"non-localized"	"ENSG00000013293.5"	NA	NA	NA
"339"	"nucleus"	"ENSG00000013297.10"	NA	NA	NA
"340"	"nucleus"	"ENSG00000013306.15"	NA	NA	NA
"341"	"cytosol"	"ENSG00000013364.18"	NA	NA	NA
"342"	"nucleus"	"ENSG00000013374.15"	NA	NA	NA
"343"	"cytosol"	"ENSG00000013375.15"	NA	NA	NA
"344"	"nucleus"	"ENSG00000013392.7"	NA	NA	NA
"345"	"cytosol"	"ENSG00000013441.15"	NA	NA	NA
"346"	"nucleus"	"ENSG00000013503.9"	NA	NA	NA
"347"	"nucleus"	"ENSG00000013523.9"	NA	NA	NA
"348"	"nucleus"	"ENSG00000013561.17"	NA	NA	NA
"349"	"nucleus"	"ENSG00000013563.13"	NA	NA	NA
"350"	"cytosol"	"ENSG00000013573.16"	NA	NA	NA
"351"	"nucleus"	"ENSG00000013583.8"	NA	NA	NA
"352"	"nucleus"	"ENSG00000013588.7"	NA	NA	NA
"353"	"cytosol"	"ENSG00000013619.13"	NA	NA	NA
"354"	"non-localized"	"ENSG00000013725.14"	49.93	"protein_coding"	"TMhelix"
"355"	"non-localized"	"ENSG00000013725.14"	49.93	"protein_coding"	""
"356"	"cytosol"	"ENSG00000013810.18"	NA	NA	NA
"357"	"cytosol"	"ENSG00000014123.9"	NA	NA	NA
"358"	"nucleus"	"ENSG00000014138.8"	NA	NA	NA
"359"	"nucleus"	"ENSG00000014164.6"	NA	NA	NA
"360"	"nucleus"	"ENSG00000014216.15"	NA	NA	NA
"361"	"nucleus"	"ENSG00000014257.15"	NA	NA	NA
"362"	"nucleus"	"ENSG00000014641.17"	NA	NA	NA
"363"	"nucleus"	"ENSG00000014824.13"	NA	NA	NA
"364"	"cytosol"	"ENSG00000014914.20"	NA	NA	NA
"365"	"nucleus"	"ENSG00000014919.12"	NA	NA	NA
"366"	"cytosol"	"ENSG00000015133.18"	NA	NA	NA
"367"	"nucleus"	"ENSG00000015153.14"	39.02	"protein_coding"	""
"368"	"cytosol"	"ENSG00000015171.19"	37.8	"protein_coding"	""
"369"	"cytosol"	"ENSG00000015171.19"	37.8	"protein_coding"	"TMhelix"
"370"	"nucleus"	"ENSG00000015285.10"	NA	NA	NA
"371"	"nucleus"	"ENSG00000015413.9"	59.08	"protein_coding"	""
"372"	"nucleus"	"ENSG00000015475.18"	52.51	"protein_coding"	""
"373"	"nucleus"	"ENSG00000015479.18"	NA	NA	NA
"374"	"cytosol"	"ENSG00000015520.14"	51.5	"protein_coding"	"TMhelix"
"375"	"nucleus"	"ENSG00000015532.9"	NA	NA	NA
"376"	"cytosol"	"ENSG00000015568.12"	NA	NA	NA
"377"	"non-localized"	"ENSG00000015592.16"	48.03	"protein_coding"	""
"378"	"nucleus"	"ENSG00000015676.17"	NA	NA	NA
"379"	"nucleus"	"ENSG00000016082.14"	NA	NA	NA
"380"	"nucleus"	"ENSG00000016391.10"	NA	NA	NA
"381"	"non-localized"	"ENSG00000016402.13"	41.2	"protein_coding"	"TMhelix"
"382"	"non-localized"	"ENSG00000016402.13"	41.2	"protein_coding"	""
"383"	"cytosol"	"ENSG00000016490.15"	NA	NA	NA
"384"	"non-localized"	"ENSG00000016602.9"	37.99	"protein_coding"	"TMhelix"
"385"	"nucleus"	"ENSG00000016864.18"	44.49	"protein_coding"	"TMhelix"
"386"	"nucleus"	"ENSG00000016864.18"	44.49	"protein_coding"	""
"387"	"nucleus"	"ENSG00000017260.19"	37.56	"protein_coding"	"TMhelix"
"388"	"nucleus"	"ENSG00000017260.19"	37.56	"protein_coding"	""
"389"	"nucleus"	"ENSG00000017427.15"	NA	NA	NA
"390"	"nucleus"	"ENSG00000017483.14"	NA	NA	NA
"391"	"nucleus"	"ENSG00000017797.12"	NA	NA	NA
"392"	"cytosol"	"ENSG00000018189.12"	NA	NA	NA
"393"	"cytosol"	"ENSG00000018236.14"	NA	NA	NA
"394"	"nucleus"	"ENSG00000018280.16"	NA	NA	NA
"395"	"nucleus"	"ENSG00000018408.14"	41.07	"protein_coding"	""
"396"	"nucleus"	"ENSG00000018510.13"	NA	NA	NA
"397"	"non-localized"	"ENSG00000018607.6"	NA	NA	NA
"398"	"nucleus"	"ENSG00000018610.13"	NA	NA	NA
"399"	"nucleus"	"ENSG00000018625.14"	NA	NA	NA
"400"	"nucleus"	"ENSG00000018699.11"	NA	NA	NA
"401"	"nucleus"	"ENSG00000018869.16"	40.84	"protein_coding"	""
"402"	"nucleus"	"ENSG00000019102.11"	NA	NA	NA
"403"	"cytosol"	"ENSG00000019144.18"	NA	NA	NA
